iter	Passed	Remaining
0	3	1887
1	6	1729
2	9	1587
3	11	1469
4	14	1480
5	17	1452
6	20	1408
7	22	1395
8	24	1355
9	28	1383
10	31	1386
11	34	1390
12	37	1408
13	40	1415
14	44	1423
15	47	1423
16	49	1420
17	52	1415
18	55	1408
19	58	1411
20	61	1406
21	64	1403
22	68	1417
23	71	1426
24	74	1422
25	77	1416
26	80	1415
27	84	1418
28	86	1412
29	88	1392
30	91	1386
31	94	1388
32	98	1395
33	101	1396
34	104	1394
35	107	1388
36	110	1387
37	114	1387
38	117	1387
39	120	1383
40	123	1378
41	126	1374
42	129	1372
43	132	1369
44	135	1365
45	138	1362
46	141	1362
47	144	1364
48	147	1360
49	150	1355
50	153	1353
51	157	1356
52	161	1358
53	164	1357
54	167	1353
55	171	1359
56	174	1357
57	178	1358
58	179	1342
59	183	1346
60	186	1344
61	190	1346
62	194	1349
63	198	1352
64	202	1354
65	206	1357
66	210	1360
67	212	1349
68	216	1353
69	221	1362
70	226	1370
71	230	1372
72	232	1360
73	237	1365
74	241	1367
75	245	1370
76	249	1368
77	254	1376
78	258	1379
79	262	1376
80	265	1374
81	268	1368
82	271	1362
83	273	1354
84	276	1348
85	280	1351
86	284	1350
87	290	1359
88	295	1362
89	299	1363
90	303	1364
91	307	1364
92	312	1367
93	316	1366
94	319	1364
95	323	1361
96	327	1361
97	331	1359
98	334	1356
99	338	1352
100	342	1353
101	346	1353
102	350	1352
103	355	1352
104	358	1349
105	362	1347
106	365	1343
107	369	1340
108	372	1336
109	375	1331
110	377	1324
111	380	1318
112	383	1312
113	386	1308
114	389	1303
115	390	1294
116	394	1292
117	397	1286
118	400	1281
119	403	1276
120	407	1275
121	411	1275
122	415	1273
123	420	1274
124	424	1273
125	428	1273
126	433	1273
127	437	1271
128	441	1269
129	445	1266
130	449	1266
131	453	1264
132	456	1260
133	459	1255
134	462	1251
135	465	1247
136	468	1241
137	471	1237
138	474	1233
139	477	1228
140	481	1226
141	485	1224
142	491	1227
143	496	1226
144	499	1224
145	504	1222
146	507	1219
147	511	1217
148	515	1214
149	519	1211
150	522	1208
151	526	1204
152	529	1200
153	532	1196
154	536	1194
155	539	1190
156	543	1188
157	547	1185
158	551	1182
159	555	1179
160	559	1177
161	562	1174
162	566	1170
163	569	1166
164	573	1165
165	577	1162
166	581	1159
167	585	1156
168	589	1155
169	593	1151
170	596	1147
171	599	1143
172	603	1140
173	606	1137
174	610	1133
175	613	1129
176	617	1126
177	620	1122
178	623	1118
179	626	1113
180	628	1108
181	631	1104
182	635	1100
183	637	1095
184	640	1090
185	643	1085
186	646	1081
187	649	1077
188	652	1073
189	654	1068
190	657	1063
191	660	1059
192	663	1054
193	666	1052
194	669	1047
195	672	1042
196	676	1039
197	679	1036
198	682	1032
199	686	1029
200	688	1024
201	692	1021
202	695	1017
203	699	1014
204	702	1010
205	705	1006
206	709	1003
207	712	1000
208	716	997
209	719	994
210	722	990
211	726	987
212	729	983
213	733	979
214	736	976
215	740	973
216	743	969
217	746	966
218	749	962
219	752	958
220	756	955
221	760	952
222	764	949
223	772	952
224	777	949
225	780	946
226	783	942
227	788	940
228	792	937
229	795	934
230	799	931
231	804	929
232	808	926
233	812	923
234	815	919
235	819	916
236	823	914
237	827	910
238	831	908
239	835	905
240	839	901
241	842	898
242	847	896
243	851	893
244	856	891
245	858	886
246	863	884
247	867	881
248	870	877
249	873	873
250	877	870
251	880	866
252	884	863
253	891	862
254	895	860
255	899	857
256	903	854
257	906	850
258	910	847
259	914	843
260	917	839
261	920	835
262	924	832
263	927	828
264	930	825
265	934	821
266	937	818
267	940	814
268	943	810
269	946	806
270	949	802
271	953	799
272	956	795
273	959	791
274	962	787
275	966	784
276	969	780
277	972	776
278	976	773
279	979	769
280	982	765
281	985	761
282	988	758
283	991	754
284	994	750
285	998	747
286	1001	743
287	1004	739
288	1007	735
289	1009	731
290	1013	727
291	1016	723
292	1019	720
293	1022	716
294	1025	712
295	1028	708
296	1031	705
297	1034	701
298	1038	697
299	1041	694
300	1044	690
301	1047	687
302	1050	683
303	1053	679
304	1056	675
305	1060	672
306	1064	668
307	1067	665
308	1070	661
309	1073	658
310	1077	654
311	1080	650
312	1083	647
313	1086	643
314	1089	639
315	1092	635
316	1094	631
317	1098	628
318	1100	624
319	1103	620
320	1106	616
321	1108	612
322	1111	609
323	1115	605
324	1118	602
325	1121	598
326	1124	595
327	1128	591
328	1132	588
329	1135	584
330	1138	581
331	1141	577
332	1144	573
333	1147	570
334	1150	566
335	1154	563
336	1157	559
337	1159	555
338	1164	552
339	1167	549
340	1170	545
341	1172	541
342	1176	538
343	1181	535
344	1184	532
345	1187	528
346	1190	525
347	1195	522
348	1199	518
349	1202	515
350	1206	512
351	1210	509
352	1214	505
353	1217	502
354	1221	498
355	1224	495
356	1227	491
357	1231	488
358	1235	485
359	1240	482
360	1244	479
361	1248	475
362	1251	472
363	1255	469
364	1258	465
365	1262	462
366	1266	458
367	1270	455
368	1273	452
369	1277	448
370	1280	445
371	1284	441
372	1288	438
373	1292	435
374	1296	432
375	1300	428
376	1303	425
377	1307	422
378	1311	418
379	1315	415
380	1319	411
381	1322	408
382	1324	404
383	1328	401
384	1331	397
385	1334	394
386	1337	390
387	1341	387
388	1345	383
389	1348	380
390	1352	376
391	1355	373
392	1358	369
393	1362	366
394	1365	363
395	1369	359
396	1372	356
397	1376	352
398	1380	349
399	1384	346
400	1387	342
401	1391	339
402	1394	335
403	1398	332
404	1401	328
405	1405	325
406	1408	321
407	1411	318
408	1414	314
409	1417	311
410	1421	307
411	1424	304
412	1427	300
413	1430	297
414	1432	293
415	1434	289
416	1437	286
417	1439	282
418	1441	278
419	1444	275
420	1447	271
421	1450	268
422	1452	264
423	1455	260
424	1458	257
425	1460	253
426	1462	250
427	1464	246
428	1467	242
429	1469	239
430	1472	235
431	1474	232
432	1476	228
433	1479	224
434	1482	221
435	1484	217
436	1486	214
437	1488	210
438	1491	207
439	1494	203
440	1497	200
441	1499	196
442	1502	193
443	1505	189
444	1508	186
445	1511	183
446	1515	179
447	1518	176
448	1521	172
449	1524	169
450	1526	165
451	1529	162
452	1531	158
453	1534	155
454	1537	152
455	1540	148
456	1543	145
457	1546	141
458	1547	138
459	1551	134
460	1552	131
461	1556	128
462	1558	124
463	1561	121
